iter	RMSE
236	2.35662658
237	2.354831619
238	2.352872524
239	2.351076538
240	2.349289083
241	2.346785635
242	2.345156154
243	2.343486642
244	2.341753323
245	2.34009651
246	2.338365769
247	2.336850441
248	2.335179
249	2.333531906
250	2.331889324
251	2.330432589
252	2.328858057
253	2.327317762
254	2.32576727
255	2.324225577
256	2.322677109
257	2.321210527
258	2.319792025
259	2.318305797
260	2.316948575
261	2.315416551
262	2.314036143
263	2.312615376
264	2.311256762
265	2.309824787
266	2.308291226
267	2.306999288
268	2.305550947
269	2.30412311
270	2.302750155
271	2.301348867
272	2.300160882
273	2.298773735
274	2.297546126
275	2.29595323
276	2.29472258
277	2.293415034
278	2.292186009
279	2.290939944
280	2.289173424
281	2.287837236
282	2.286619233
283	2.284779005
284	2.283445032
285	2.282200846
286	2.280830959
287	2.279572196
288	2.278322457
289	2.277173892
290	2.276055397
291	2.274821642
292	2.273662776
293	2.2724823
294	2.271362044
295	2.270026552
296	2.268860308
297	2.267656409
298	2.266485388
299	2.265381769
300	2.264326759
301	2.263172146
302	2.261945621
303	2.260883417
304	2.259848073
305	2.258766402
306	2.257709639
307	2.256710852
308	2.255590123
309	2.25453035
310	2.253034437
311	2.252000986
312	2.250901603
313	2.249888255
314	2.248365983
315	2.247306842
316	2.245958293
317	2.245006974
318	2.244003258
319	2.243083924
320	2.242121926
321	2.241119592
322	2.240189889
323	2.239231932
324	2.238312943
325	2.237350203
326	2.236357713
327	2.235420429
328	2.23454654
329	2.233602807
330	2.232748195
331	2.23181687
332	2.230934927
333	2.229714669
334	2.228849464
335	2.227965726
336	2.227087041
337	2.225763961
338	2.22485266
339	2.224048687
340	2.223224062
341	2.222288735
342	2.221489133
343	2.220640387
344	2.219812755
345	2.218774342
346	2.217980766
347	2.217247507
348	2.216406496
349	2.215532651
350	2.214462122
351	2.213640417
352	2.212818453
353	2.212049375
354	2.211293566
355	2.21044112
356	2.209602217
357	2.208741756
358	2.207962832
359	2.207199359
360	2.20639507
361	2.205620452
362	2.204857003
363	2.204087092
364	2.203140784
365	2.202351557
366	2.20156704
367	2.20049211
368	2.19969481
369	2.198887539
370	2.198174409
371	2.197417097
372	2.196662419
373	2.195922953
374	2.195182114
375	2.194479171
376	2.193823087
377	2.193056988
378	2.192368054
379	2.191599334
380	2.190837795
381	2.190155335
382	2.189431628
383	2.188710048
384	2.188010308
385	2.187259497
386	2.186561267
387	2.185800298
388	2.185141181
389	2.184418523
390	2.183727437
391	2.182980519
392	2.182359559
393	2.181691193
394	2.180960081
395	2.180277411
396	2.179609178
397	2.178915714
398	2.178254654
399	2.17737675
400	2.176475154
401	2.175822872
402	2.175076827
403	2.174391971
404	2.173752311
405	2.173012567
406	2.171991076
407	2.1713245
408	2.170691002
409	2.170013031
410	2.169365098
411	2.16865742
412	2.167995966
413	2.16728875
414	2.166686077
415	2.166026508
416	2.165387198
417	2.164774039
418	2.164181396
419	2.163546227
420	2.162654627
421	2.162059247
422	2.161235694
423	2.160619503
424	2.15970088
425	2.159103419
426	2.158500393
427	2.157938794
428	2.157339869
429	2.15674176
430	2.155794215
431	2.155231959
432	2.15461861
433	2.154037795
434	2.153304997
435	2.152728474
436	2.152172347
437	2.151610252
438	2.150930223
439	2.150389797
440	2.149805244
441	2.14919232
442	2.148554445
443	2.147996092
444	2.14738931
445	2.146779942
446	2.146228395
447	2.145690266
448	2.145069913
449	2.144500154
450	2.143958253
451	2.143405815
452	2.142662163
453	2.142141689
454	2.141645972
455	2.141062579
456	2.140498853
457	2.139734602
458	2.139260045
459	2.138718892
460	2.138159296
461	2.137562208
462	2.137059866
463	2.136554
464	2.135993837
465	2.13549671
466	2.134995889
467	2.134486057
468	2.133975427
469	2.133439333
470	2.132947634
471	2.13242772
472	2.131947504
473	2.131418574
474	2.130921787
475	2.130344192
476	2.129811149
477	2.129349696
478	2.128866199
479	2.128388471
480	2.127912517
481	2.12742104
482	2.126918421
483	2.126429968
484	2.125841754
485	2.125380199
486	2.124872168
487	2.124376023
488	2.123854121
489	2.123338709
490	2.122887601
491	2.122422825
492	2.121950671
493	2.121448394
494	2.121021309
495	2.120494338
496	2.119859428
497	2.119378752
498	2.118905211
499	2.118465612
500	2.118022898
501	2.117377158
502	2.116949893
503	2.116496184
504	2.115998075
505	2.115511579
506	2.11491491
507	2.114484236
508	2.113978325
509	2.113557592
510	2.112965619
511	2.112539105
512	2.112066511
513	2.111645328
514	2.111218954
515	2.110787787
516	2.110325878
517	2.10990243
518	2.109411305
519	2.109000794
520	2.108546894
521	2.108088914
522	2.107707426
523	2.107295439
524	2.106753623
525	2.106364455
526	2.105990142
527	2.105587425
528	2.105231383
529	2.104765906
530	2.104352748
531	2.103849437
532	2.103281733
533	2.102901985
534	2.102494115
535	2.102111434
536	2.101733447
537	2.101317921
538	2.100962838
539	2.100512028
540	2.100092667
541	2.099553386
542	2.099176821
543	2.098831568
544	2.098440797
545	2.097939636
546	2.097484554
547	2.097057737
548	2.096660363
549	2.096299722
550	2.095880081
551	2.095506512
552	2.095162855
553	2.094798451
554	2.094349688
555	2.093882712
556	2.093482463
557	2.093095091
558	2.092710407
559	2.092364847
560	2.09198809
561	2.091625989
562	2.09126814
563	2.090867545
564	2.090536562
565	2.090160717
566	2.089785862
567	2.089392769
568	2.089004966
569	2.088625167
570	2.088262749
571	2.087878458
572	2.087563449
573	2.087216828
574	2.086887481
575	2.086474918
576	2.086125485
577	2.08577744
578	2.085235979
579	2.084870628
580	2.084537793
581	2.08415867
582	2.0838286
583	2.083507899
584	2.083166979
585	2.082856873
586	2.082298101
587	2.081938248
588	2.081601958
589	2.081268448
590	2.080791728
591	2.080471506
592	2.08014489
593	2.079559712
594	2.07925784
595	2.078917481
596	2.078594605
597	2.078230571
598	2.077893495
599	2.077451281
600	2.077110347
601	2.076609976
602	2.076315664
603	2.075977451
604	2.07549609
605	2.075137266
606	2.074724552
607	2.074403561
608	2.074059987
609	2.073752982
610	2.073407557
611	2.073094076
612	2.072749542
613	2.072420415
614	2.072079273
615	2.071767113
616	2.071481369
617	2.071166228
618	2.07079103
619	2.070420327
620	2.070075815
621	2.069622689
622	2.069289925
623	2.068752358
624	2.068423828
625	2.068120221
626	2.067838588
627	2.067538412
628	2.067250728
629	2.066960136
630	2.066639997
631	2.066268361
632	2.065970633
633	2.065676354
634	2.065397359
635	2.065107455
636	2.06480234
637	2.064413436
638	2.064111245
639	2.063824956
640	2.063546355
641	2.0631995
642	2.062939378
643	2.062641045
644	2.06235
645	2.062010145
646	2.061724095
647	2.061411627
648	2.061120372
649	2.060839527
650	2.060504373
651	2.060251465
652	2.059972873
653	2.059645542
654	2.059361812
655	2.059063574
656	2.05879789
657	2.058453306
658	2.058026707
659	2.05772797
660	2.057386972
661	2.057096143
662	2.056810872
663	2.056540192
664	2.056313753
665	2.055921704
666	2.055661312
667	2.055413801
668	2.055135949
669	2.054859582
670	2.054558787
671	2.054281843
672	2.053980568
673	2.05368861
674	2.053321583
675	2.05298148
676	2.052732305
677	2.052472437
678	2.052101152
679	2.051820681
680	2.051539762
681	2.051139645
682	2.050859085
683	2.050605895
684	2.050368136
685	2.050114354
686	2.04980691
687	2.049556912
688	2.049302619
689	2.049013941
690	2.048729716
691	2.048493304
692	2.048222299
693	2.047968819
694	2.047591193
695	2.047287407
696	2.046939714
697	2.046656359
698	2.046390675
699	2.04613472
700	2.045905588
701	2.04568706
702	2.045426335
703	2.045205034
704	2.044913646
705	2.044636381
706	2.044385218
707	2.044149068
708	2.043888398
709	2.043653552
710	2.043395475
711	2.043114558
712	2.042874899
713	2.042641783
714	2.042383546
715	2.042114674
716	2.041874029
717	2.041619007
718	2.041322398
719	2.041080892
720	2.040824918
721	2.04058876
722	2.04036946
723	2.040130819
724	2.03989276
725	2.039560686
726	2.039310482
727	2.03909195
728	2.038876069
729	2.038651324
730	2.038435118
731	2.038169559
732	2.037910131
733	2.037628472
734	2.037400972
735	2.037170874
736	2.036948394
737	2.036717394
738	2.03645831
739	2.03625013
740	2.036029756
741	2.035658965
742	2.035333023
743	2.035129332
744	2.034868132
745	2.034593582
746	2.034375221
747	2.034008996
748	2.033776189
749	2.033541156
750	2.033295598
751	2.033080553
752	2.032833659
753	2.032454038
754	2.032254155
755	2.032039697
756	2.031827206
757	2.031491826
758	2.031252494
759	2.031012703
760	2.030697752
761	2.030474627
762	2.030253109
763	2.029933961
764	2.029691023
765	2.029479332
766	2.029262162
767	2.029066978
768	2.028886152
769	2.028678038
770	2.028470848
771	2.028219398
772	2.027987295
773	2.027783253
774	2.027558629
775	2.027351998
776	2.027163649
777	2.026771449
778	2.02656117
779	2.026343423
780	2.026155209
781	2.025971815
782	2.025658312
783	2.025433655
784	2.02524504
785	2.024872424
786	2.024659627
787	2.02446161
788	2.024265614
789	2.024015193
790	2.023820391
791	2.023590322
792	2.02341077
793	2.023202422
794	2.022985662
795	2.022820674
796	2.022547603
797	2.022323756
798	2.022029456
799	2.021850868
